,Date,Open_snp,High_snp,Low_snp,Close_snp,Volume_snp,Name_snp
15014,2012-08-13,45.63,45.76,45.23,45.56,1977122.0,AFL
15015,2012-08-14,45.89,46.04,45.09,45.23,1961693.0,AFL
15016,2012-08-15,45.22,45.9,45.13,45.64,1806690.0,AFL
15017,2012-08-16,45.7,46.07,45.38,45.9,2018199.0,AFL
15018,2012-08-17,45.97,46.16,45.53,46.12,1995331.0,AFL
15019,2012-08-20,45.95,46.28,45.74,46.1,2099089.0,AFL
15020,2012-08-21,46.36,46.9,46.1,46.51,3677750.0,AFL
15021,2012-08-22,46.4,46.5,45.78,46.09,1705569.0,AFL
15022,2012-08-23,45.99,46.04,45.47,45.71,1521360.0,AFL
15023,2012-08-24,45.56,46.3,45.52,46.18,2231246.0,AFL
15024,2012-08-27,46.35,46.53,46.02,46.15,1550046.0,AFL
15025,2012-08-28,46.01,46.46,45.91,46.19,1435836.0,AFL
15026,2012-08-29,46.29,46.47,46.07,46.33,1411383.0,AFL
15027,2012-08-30,46.05,46.25,45.76,46.02,1390493.0,AFL
15028,2012-08-31,46.35,46.57,46.0,46.18,2574317.0,AFL
15029,2012-09-04,46.37,46.62,45.93,46.5,1874877.0,AFL
15030,2012-09-05,46.43,46.62,45.8,45.88,2808754.0,AFL
15031,2012-09-06,46.34,47.45,46.26,47.41,3305745.0,AFL
15032,2012-09-07,47.62,48.53,47.57,48.29,3692553.0,AFL
15033,2012-09-10,48.42,48.6,47.99,48.0,2253683.0,AFL
15034,2012-09-11,48.01,48.75,48.01,48.62,2643820.0,AFL
15035,2012-09-12,48.47,48.92,48.26,48.54,2230003.0,AFL
15036,2012-09-13,48.54,49.52,47.91,49.34,2950168.0,AFL
15037,2012-09-14,49.55,50.24,49.41,49.66,2654921.0,AFL
15038,2012-09-17,49.48,49.71,49.02,49.27,2383818.0,AFL
15039,2012-09-18,48.92,49.02,48.45,48.69,2773099.0,AFL
15040,2012-09-19,48.68,48.93,48.41,48.6,2079384.0,AFL
15041,2012-09-20,48.43,48.75,48.03,48.65,2057448.0,AFL
15042,2012-09-21,48.91,48.91,48.17,48.18,2973881.0,AFL
15043,2012-09-24,48.04,48.64,48.0,48.31,1968248.0,AFL
15044,2012-09-25,48.48,48.81,47.55,47.56,2509129.0,AFL
15045,2012-09-26,47.46,47.47,46.35,46.65,3291501.0,AFL
15046,2012-09-27,47.05,47.79,46.96,47.72,2364229.0,AFL
15047,2012-09-28,47.57,48.08,47.2,47.88,2724857.0,AFL
15048,2012-10-01,48.18,48.48,47.45,47.6,1803287.0,AFL
15049,2012-10-02,47.86,48.1,47.25,47.56,1971732.0,AFL
15050,2012-10-03,47.8,47.88,47.25,47.53,1866307.0,AFL
15051,2012-10-04,47.85,48.5,47.7,48.43,1958993.0,AFL
15052,2012-10-05,48.8,49.15,48.32,48.61,2385878.0,AFL
15053,2012-10-08,48.26,48.79,48.2,48.67,896782.0,AFL
15054,2012-10-09,48.56,48.82,48.0,48.06,1508593.0,AFL
15055,2012-10-10,48.02,48.17,47.43,47.61,2663132.0,AFL
15056,2012-10-11,48.01,48.57,47.99,48.29,1913757.0,AFL
15057,2012-10-12,48.25,48.38,47.53,48.14,2094029.0,AFL
15058,2012-10-15,48.35,48.84,47.91,48.78,2082652.0,AFL
15059,2012-10-16,49.0,49.7,48.93,49.41,2623020.0,AFL
15060,2012-10-17,49.72,50.36,49.43,50.28,2954862.0,AFL
15061,2012-10-18,50.07,50.46,49.73,50.11,2809679.0,AFL
15062,2012-10-19,49.91,50.2,49.36,49.69,3355589.0,AFL
15063,2012-10-22,49.55,50.19,49.51,50.19,2849309.0,AFL
15064,2012-10-23,49.42,49.77,49.22,49.66,2816809.0,AFL
15065,2012-10-24,49.6,50.3,48.57,49.44,3961922.0,AFL
15066,2012-10-25,49.89,50.18,49.41,50.03,2673806.0,AFL
15067,2012-10-26,49.89,50.05,49.24,49.58,2168079.0,AFL
15068,2012-10-31,49.7,50.14,49.45,49.78,2553874.0,AFL
15069,2012-11-01,49.96,51.07,49.81,50.94,3068795.0,AFL
15070,2012-11-02,51.18,51.25,50.28,50.63,2475683.0,AFL
15071,2012-11-05,50.48,51.31,50.12,51.19,2599585.0,AFL
15072,2012-11-06,51.17,52.46,51.04,52.19,4443381.0,AFL
15073,2012-11-07,51.45,51.45,50.18,50.48,3532930.0,AFL
15074,2012-11-08,50.59,51.03,49.71,49.72,3049192.0,AFL
15075,2012-11-09,49.43,49.91,49.08,49.62,3877980.0,AFL
15076,2012-11-12,49.78,49.92,49.45,49.84,1794047.0,AFL
15077,2012-11-13,49.45,50.62,49.35,50.03,2683863.0,AFL
15078,2012-11-14,50.17,50.73,49.52,49.64,3731720.0,AFL
15079,2012-11-15,49.69,50.71,49.5,50.14,4079628.0,AFL
15080,2012-11-16,50.16,50.47,49.6,50.41,4735930.0,AFL
15081,2012-11-19,50.93,51.45,50.72,51.44,3220132.0,AFL
15082,2012-11-20,51.23,51.5,50.5,50.96,3031163.0,AFL
15083,2012-11-21,51.23,51.24,50.45,51.23,2065357.0,AFL
15084,2012-11-23,51.5,51.9,51.38,51.89,1162131.0,AFL
15085,2012-11-26,51.55,52.0,51.51,51.85,2619739.0,AFL
15086,2012-11-27,51.82,51.99,51.38,51.51,2372199.0,AFL
15087,2012-11-28,51.36,52.04,51.09,51.99,1916092.0,AFL
15088,2012-11-29,52.09,52.75,52.0,52.67,2429442.0,AFL
15089,2012-11-30,52.67,53.14,52.46,52.99,2913958.0,AFL
15090,2012-12-03,53.18,53.27,52.69,52.75,2983350.0,AFL
15091,2012-12-04,52.7,52.88,52.26,52.57,2278368.0,AFL
15092,2012-12-05,52.75,53.75,52.6,53.58,3371878.0,AFL
15093,2012-12-06,53.51,53.82,52.82,53.8,2408312.0,AFL
15094,2012-12-07,54.14,54.38,53.28,53.58,2406299.0,AFL
15095,2012-12-10,53.39,53.85,53.32,53.57,1812112.0,AFL
15096,2012-12-11,53.84,54.2,53.58,54.09,2771698.0,AFL
15097,2012-12-12,54.42,54.93,54.06,54.19,2855096.0,AFL
15098,2012-12-13,54.17,54.5,53.33,53.42,2050450.0,AFL
15099,2012-12-14,53.41,53.64,53.12,53.23,2377932.0,AFL
15100,2012-12-17,53.51,54.1,53.31,54.09,2098113.0,AFL
15101,2012-12-18,54.09,54.7,53.95,54.63,3220981.0,AFL
15102,2012-12-19,54.75,54.81,54.24,54.38,3203255.0,AFL
15103,2012-12-20,54.52,54.71,53.95,54.7,2149434.0,AFL
15104,2012-12-21,54.37,54.42,53.61,53.81,3816055.0,AFL
15105,2012-12-24,53.8,53.97,53.66,53.78,685633.0,AFL
15106,2012-12-26,53.8,54.02,53.3,53.5,1784579.0,AFL
15107,2012-12-27,53.57,53.59,52.45,53.01,3050608.0,AFL
15108,2012-12-28,52.61,52.81,52.19,52.25,2521642.0,AFL
15109,2012-12-31,52.28,53.13,51.86,53.12,2615029.0,AFL
15110,2013-01-02,54.39,54.44,53.72,54.07,4036341.0,AFL
15111,2013-01-03,53.62,53.62,52.11,52.7,5144835.0,AFL
15112,2013-01-04,52.88,53.14,52.01,52.04,4373166.0,AFL
15113,2013-01-07,51.82,51.87,51.08,51.84,4521061.0,AFL
15114,2013-01-08,51.67,52.44,51.53,52.44,3368645.0,AFL
15115,2013-01-09,52.1,52.7,52.1,52.5,2146256.0,AFL
15116,2013-01-10,52.98,53.41,52.67,53.37,2403368.0,AFL
15117,2013-01-11,53.36,53.36,52.48,52.93,2133039.0,AFL
15118,2013-01-14,53.0,53.25,52.35,52.95,1613032.0,AFL
15119,2013-01-15,52.3,53.11,51.99,53.03,3802522.0,AFL
15120,2013-01-16,52.74,52.81,51.51,51.61,4159143.0,AFL
15121,2013-01-17,51.6,51.98,51.05,51.44,4479802.0,AFL
15122,2013-01-18,51.55,51.78,51.28,51.47,3735948.0,AFL
15123,2013-01-22,51.5,52.79,51.47,52.64,4188030.0,AFL
15124,2013-01-23,52.47,53.32,52.42,53.13,2339431.0,AFL
15125,2013-01-24,53.19,53.95,53.02,53.61,3537481.0,AFL
15126,2013-01-25,53.72,53.76,52.96,53.48,2426719.0,AFL
15127,2013-01-28,53.77,53.77,52.75,52.99,2967030.0,AFL
15128,2013-01-29,52.87,53.44,52.61,53.35,2333671.0,AFL
15129,2013-01-30,53.25,53.33,52.36,52.46,2450135.0,AFL
