,Date,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
0,2009-11-10,0.0,1339450.0,0.0,0.0,0.0,0.000215422535211,0.0,1.0,0.0,3.5294291437e-06,1.0,0.0,0.0,0.0,0.0,71.0,71.0,26958.0,71.0,71.0,3550.0,0.0,0.0
1,2009-11-11,0.0,1342900.0,0.0,0.0,0.0,0.000323072463768,0.0,1.0,0.0,3.4300086044400002e-06,1.0,0.0,0.0,19.1666666667,0.0,71.0,78.0,27036.0,78.0,78.0,93450.0,18000.0,0.0
2,2009-11-12,0.0,1346400.0,0.0,0.0,0.0,0.000215357142857,0.0,1.0,0.0,3.4797188740699996e-06,1.0,0.0,0.0,0.0,0.0,70.0,70.0,27106.0,70.0,70.0,3500.0,0.0,0.0
3,2009-11-13,0.0,1349900.0,0.0,0.0,0.0,0.000241728571429,0.0,1.0,0.0,3.4797188740699996e-06,1.0,0.0,0.0,673.076923077,0.0,73.0,73.0,27179.0,73.0,73.0,4100.0,520.0,0.0
4,2009-11-14,0.0,1354050.0,0.0,0.0,0.0,0.00021563855421700002,0.0,1.0,0.0,4.1259523792599994e-06,1.0,0.0,0.0,0.0,0.0,83.0,83.0,27262.0,83.0,83.0,4150.0,0.0,0.0
5,2009-11-15,0.0,1358850.0,0.0,0.0,0.0,0.00021558333333300002,0.0,1.0,0.0,4.7721858844400004e-06,1.0,0.0,0.0,0.0,0.0,96.0,96.0,27358.0,96.0,96.0,4800.0,0.0,0.0
6,2009-11-16,0.0,1363850.0,0.0,0.0,0.0,0.00021569,0.0,1.0,0.0,4.97102696296e-06,1.0,0.0,0.0,0.0,0.0,100.0,100.0,27458.0,100.0,100.0,5000.0,0.0,0.0
7,2009-11-17,0.0,1368400.0,0.0,0.0,0.0,0.000215681318681,0.0,1.0,0.0,4.5236345363e-06,1.0,0.0,0.0,0.0,0.0,91.0,91.0,27549.0,91.0,91.0,4550.0,0.0,0.0
8,2009-11-18,0.0,1372350.0,0.0,0.0,0.0,0.00021554430379700003,0.0,1.0,0.0,3.92711130074e-06,1.0,0.0,0.0,0.0,0.0,79.0,79.0,27628.0,79.0,79.0,3950.0,0.0,0.0
9,2009-11-19,0.0,1376000.0,0.0,0.0,0.0,0.000215342465753,0.0,1.0,0.0,3.62884968296e-06,1.0,0.0,0.0,0.0,0.0,73.0,73.0,27701.0,73.0,73.0,3650.0,0.0,0.0
10,2009-11-20,0.0,1380100.0,0.0,0.0,0.0,0.00035195121951199997,0.0,1.0,0.0,4.0762421096300005e-06,1.0,0.0,0.0,9.24464487035,0.0,84.0,84.0,27785.0,84.0,84.0,48450.0,44350.0,0.0
11,2009-11-21,0.0,1383950.0,0.0,0.0,0.0,0.00021571428571400003,0.0,1.0,0.0,3.8276907614800005e-06,1.0,0.0,0.0,0.0,0.0,77.0,77.0,27862.0,77.0,77.0,3850.0,0.0,0.0
12,2009-11-22,0.0,1388950.0,0.0,0.0,0.0,0.00021569,0.0,1.0,0.0,4.97102696296e-06,1.0,0.0,0.0,0.0,0.0,100.0,100.0,27962.0,100.0,100.0,5000.0,0.0,0.0
13,2009-11-23,0.0,1393750.0,0.0,0.0,0.0,0.000215875,0.0,1.0,0.0,4.7721858844400004e-06,1.0,0.0,0.0,0.0,0.0,96.0,96.0,28058.0,96.0,96.0,4800.0,0.0,0.0
14,2009-11-24,0.0,1398850.0,0.0,0.0,0.0,0.00021560784313699998,0.0,1.0,0.0,5.070447502219999e-06,1.0,0.0,0.0,0.0,0.0,102.0,102.0,28160.0,102.0,102.0,5100.0,0.0,0.0
15,2009-11-25,0.0,1403100.0,0.0,0.0,0.0,0.00021564705882400002,0.0,1.0,0.0,4.22537291852e-06,1.0,0.0,0.0,0.0,0.0,85.0,85.0,28245.0,85.0,85.0,4250.0,0.0,0.0
16,2009-11-26,0.0,1407000.0,0.0,0.0,0.0,0.000215525641026,0.0,1.0,0.0,3.8774010311099995e-06,1.0,0.0,0.0,0.0,0.0,78.0,78.0,28323.0,78.0,78.0,3900.0,0.0,0.0
17,2009-11-27,0.0,1410750.0,0.0,0.0,0.0,0.000215506666667,0.0,1.0,0.0,3.7282702222199996e-06,1.0,0.0,0.0,0.0,0.0,75.0,75.0,28398.0,75.0,75.0,3750.0,0.0,0.0
