,Date,Open,High,Low,Close,Volume,Market Cap,Open_tokyo,High_tokyo,Low_tokyo,Close_tokyo,Volume_tokyo,StockTrading_tokyo
298,2017-01-13,803.74,829.0,780.0,823.98,"168,968,000","12,939,100,000",38900,39380,38240,38430,1321200,51197289000
299,2017-01-12,775.18,826.25,755.76,804.83,"222,326,000","12,477,600,000",38300,38450,37930,38010,800900,30540359000
300,2017-01-11,908.12,919.45,762.76,777.76,"310,929,000","14,615,700,000",38710,38880,38480,38560,545900,21089798000
301,2017-01-10,902.44,914.87,901.06,907.68,"115,808,000","14,522,600,000",38620,38850,38150,38690,1196900,46107703000
305,2017-01-06,1014.24,1046.81,883.94,902.2,"351,876,000","16,314,100,000",40500,41030,39720,39720,1435500,57708934000
306,2017-01-05,1156.73,1191.1,910.42,1013.38,"510,199,000","18,604,000,000",43250,43330,42470,42590,516800,22124250000
307,2017-01-04,1044.4,1159.42,1044.4,1154.73,"344,946,000","16,795,400,000",42480,43330,42450,43290,648100,27916728000
312,2016-12-30,972.53,972.53,934.83,961.24,"187,474,000","15,630,200,000",42120,42330,41700,41830,610000,25628028000
313,2016-12-29,975.13,979.4,954.5,973.5,"199,320,000","15,670,000,000",43000,43220,42540,42660,448400,19188227000
314,2016-12-28,934.83,975.92,934.83,975.92,"236,630,000","15,020,500,000",43940,43970,43270,43270,339900,14780670000
315,2016-12-27,908.35,940.05,904.25,933.2,"167,308,000","14,593,300,000",43140,43700,43140,43620,400100,17427993000
316,2016-12-26,896.9,913.18,896.9,907.61,"123,771,000","14,407,800,000",43310,43660,43090,43340,358200,15547803000
320,2016-12-22,834.18,875.78,834.15,864.54,"200,027,000","13,393,800,000",43660,43840,43190,43480,381600,16586491000
321,2016-12-21,800.64,834.28,799.4,834.28,"155,576,000","12,853,700,000",43900,44370,43610,44000,658900,28994316000
322,2016-12-20,792.25,801.34,791.5,800.88,"99,629,300","12,717,600,000",42910,43630,42860,43620,499400,21606102000
323,2016-12-19,790.69,793.61,790.32,792.71,"74,886,400","12,691,100,000",42790,43150,42740,43130,358700,15428531000
326,2016-12-16,778.96,785.03,778.96,784.91,"83,608,200","12,498,800,000",43350,43550,42810,43130,542000,23380606000
327,2016-12-15,780.07,781.43,777.8,778.09,"81,580,100","12,511,700,000",43440,43880,42550,43000,627400,27055034000
328,2016-12-14,780.0,782.03,776.84,781.48,"75,979,000","12,512,900,000",43300,43440,42590,43090,548800,23600236000
329,2016-12-13,780.65,788.46,777.96,780.56,"81,645,600","12,521,500,000",43130,43300,42630,43210,434500,18658982000
330,2016-12-12,770.04,781.92,770.04,780.09,"76,571,000","12,349,800,000",43950,44000,42880,43130,775300,33633233000
333,2016-12-09,769.94,774.53,769.65,772.79,"68,705,300","12,344,000,000",41700,42970,41150,42590,1975600,83251556000
334,2016-12-08,768.08,774.7,765.95,770.81,"80,111,900","12,312,500,000",41480,41560,40830,41100,639900,26310776000
335,2016-12-07,764.21,771.54,759.75,768.13,"96,426,100","12,248,900,000",40500,41150,40420,40870,536800,21935649000
336,2016-12-06,758.72,765.62,758.72,764.22,"116,218,000","12,159,400,000",40350,40500,39860,40150,618100,24820835000
337,2016-12-05,773.39,773.47,751.71,758.7,"106,363,000","12,393,100,000",40060,40350,39690,39760,620500,24756974000
340,2016-12-02,757.54,781.3,757.54,777.94,"127,605,000","12,134,800,000",40300,40660,39960,40660,573000,23117924000
341,2016-12-01,746.05,758.27,746.05,756.77,"80,461,900","11,949,200,000",40500,41190,40320,40460,850700,34630369000
342,2016-11-30,736.28,747.93,736.26,745.69,"84,070,800","11,791,600,000",40300,40340,39570,39570,692200,27596077000
343,2016-11-29,736.33,737.47,734.56,735.6,"68,511,100","11,790,900,000",40420,40580,40100,40200,894400,36013470000
344,2016-11-28,732.48,738.01,732.48,735.81,"61,888,600","11,727,800,000",41260,41440,40830,41260,384800,15844055000
347,2016-11-25,740.44,741.65,734.59,741.65,"67,807,600","11,851,100,000",41820,42020,41220,41370,665500,27635591000
348,2016-11-24,744.62,746.83,733.49,740.29,"85,919,300","11,916,500,000",41300,41760,41170,41730,692900,28790748000
350,2016-11-22,739.64,753.87,736.53,751.35,"129,906,000","11,834,200,000",39880,40360,39660,40360,500200,20073907000
351,2016-11-21,731.26,741.72,730.51,739.25,"60,802,400","11,698,900,000",40210,40270,39510,39970,609600,24304570000
354,2016-11-18,740.71,752.88,736.89,751.59,"87,363,100","11,846,000,000",39980,40620,39900,40190,886500,35703144000
355,2016-11-17,744.88,755.64,739.51,740.98,"108,579,000","11,911,300,000",39200,39710,39050,39280,573700,22579532000
356,2016-11-16,711.17,747.62,709.04,744.2,"141,294,000","11,370,700,000",39130,39750,39110,39400,764300,30177742000
357,2016-11-15,705.79,715.72,705.26,711.62,"72,038,500","11,283,400,000",38600,38980,38470,38570,555600,21472470000
358,2016-11-14,702.0,706.28,699.81,705.02,"62,993,000","11,214,600,000",37730,38690,37680,38580,784100,30098109000
361,2016-11-11,715.55,718.32,714.41,716.41,"63,119,700","11,427,200,000",37590,37940,37190,37600,1329900,50023444000
