,Date,Open_snp,High_snp,Low_snp,Close_snp,Volume_snp,Name_snp
0,2012-08-13,92.29,92.59,91.74,92.4,2075391.0,MMM
1,2012-08-14,92.36,92.5,92.01,92.3,1843476.0,MMM
2,2012-08-15,92.0,92.74,91.94,92.54,1983395.0,MMM
3,2012-08-16,92.75,93.87,92.21,93.74,3395145.0,MMM
4,2012-08-17,93.93,94.3,93.59,94.24,3069513.0,MMM
5,2012-08-20,94.0,94.17,93.55,93.89,1640008.0,MMM
6,2012-08-21,93.98,94.1,92.99,93.21,2302988.0,MMM
7,2012-08-22,92.56,93.36,92.43,92.68,2463908.0,MMM
8,2012-08-23,92.65,92.68,91.79,91.98,1823757.0,MMM
9,2012-08-24,92.03,92.97,91.94,92.83,1945796.0,MMM
10,2012-08-27,92.92,92.97,92.4,92.59,1879969.0,MMM
11,2012-08-28,92.36,92.77,92.2,92.3,1913066.0,MMM
12,2012-08-29,92.5,92.8,92.3,92.43,1735933.0,MMM
13,2012-08-30,92.05,92.15,91.3,91.76,1729576.0,MMM
14,2012-08-31,92.44,93.0,91.9,92.6,1917265.0,MMM
15,2012-09-04,92.03,92.33,91.1,91.68,2532261.0,MMM
16,2012-09-05,91.92,91.99,91.11,91.75,2985428.0,MMM
17,2012-09-06,92.37,93.38,92.06,93.28,3223309.0,MMM
18,2012-09-07,93.38,93.65,92.7,92.82,3215341.0,MMM
19,2012-09-10,92.27,92.31,90.61,90.67,6356086.0,MMM
20,2012-09-11,90.73,91.59,90.65,91.17,2403421.0,MMM
21,2012-09-12,91.6,91.66,90.46,90.81,2409574.0,MMM
22,2012-09-13,90.92,92.43,90.46,92.06,2734203.0,MMM
23,2012-09-14,92.86,93.98,92.56,93.98,4993059.0,MMM
24,2012-09-17,93.66,94.09,93.49,93.78,3290255.0,MMM
25,2012-09-18,93.78,93.99,93.22,93.43,2477444.0,MMM
26,2012-09-19,92.88,94.06,92.73,93.63,2723431.0,MMM
27,2012-09-20,93.2,93.63,92.91,93.58,2075529.0,MMM
28,2012-09-21,94.06,94.07,92.94,93.21,9551168.0,MMM
29,2012-09-24,92.85,94.09,92.76,93.73,3037401.0,MMM
30,2012-09-25,93.95,94.1,92.72,92.83,3800943.0,MMM
31,2012-09-26,92.88,93.4,92.54,92.59,2612892.0,MMM
32,2012-09-27,92.89,93.21,91.96,92.82,2081502.0,MMM
33,2012-09-28,92.47,92.86,91.7,92.42,2559648.0,MMM
34,2012-10-01,92.9,94.27,92.21,93.29,3900861.0,MMM
35,2012-10-02,94.23,94.29,93.1,93.54,3602278.0,MMM
36,2012-10-03,93.81,94.0,93.0,93.78,2610234.0,MMM
37,2012-10-04,94.05,94.53,93.66,94.43,2531459.0,MMM
38,2012-10-05,94.74,95.2,94.45,94.96,3663528.0,MMM
39,2012-10-08,94.55,95.46,94.5,95.37,2607553.0,MMM
40,2012-10-09,95.29,95.29,93.9,93.94,2989484.0,MMM
41,2012-10-10,93.95,94.0,93.15,93.28,2561589.0,MMM
42,2012-10-11,93.86,93.87,92.78,92.83,2429144.0,MMM
43,2012-10-12,92.95,93.34,92.4,92.75,2566054.0,MMM
44,2012-10-15,92.71,93.06,92.37,92.79,2916265.0,MMM
45,2012-10-16,94.02,94.34,93.29,94.23,2857505.0,MMM
46,2012-10-17,94.94,95.1,94.55,94.81,3191747.0,MMM
47,2012-10-18,94.68,95.0,94.17,94.74,2538733.0,MMM
48,2012-10-19,94.61,94.61,92.69,92.94,3804542.0,MMM
49,2012-10-22,92.41,93.06,91.5,92.53,3131765.0,MMM
50,2012-10-23,89.67,90.52,88.58,88.73,5865955.0,MMM
51,2012-10-24,89.03,89.54,88.15,88.39,3321221.0,MMM
52,2012-10-25,88.57,88.84,87.41,87.81,4613856.0,MMM
53,2012-10-26,87.9,88.54,87.59,88.03,3592536.0,MMM
54,2012-10-31,88.03,88.69,87.49,87.6,3360373.0,MMM
55,2012-11-01,87.94,89.4,87.84,89.25,3306723.0,MMM
56,2012-11-02,89.61,89.97,88.78,88.97,3053147.0,MMM
57,2012-11-05,88.08,89.84,88.08,89.6,2387719.0,MMM
58,2012-11-06,89.95,91.23,89.87,90.86,2806033.0,MMM
59,2012-11-07,90.34,90.34,88.71,89.38,4593053.0,MMM
60,2012-11-08,89.11,89.83,88.46,88.55,3006022.0,MMM
61,2012-11-09,88.6,89.56,88.1,88.81,3176375.0,MMM
62,2012-11-12,88.96,89.67,88.5,89.18,2220003.0,MMM
63,2012-11-13,88.6,90.19,88.36,89.08,2985900.0,MMM
64,2012-11-14,89.17,89.38,87.07,87.31,2882788.0,MMM
65,2012-11-15,86.74,88.29,86.74,88.02,3291663.0,MMM
66,2012-11-16,88.12,89.38,87.75,88.5,5237021.0,MMM
